"lag.smoke","lag.smoke.low","lag.smoke.high","lag","df.date","df.tmmx","df.rmax","pm.threshold"
0.236633608828823,0.179865256665995,0.292888126569032,11,5,2,2,20
0.188378565313238,0.131302408176575,0.244957515855702,11,6,2,2,20
0.164958167462523,0.107453545490191,0.221962907521303,11,7,2,2,20
0.167466424515092,0.110274506477349,0.22415552146193,11,9,2,2,20
0.168188197296186,0.110662585397357,0.22525957684118,11,11,3,3,20
0.163863534777238,0.106211590879498,0.221062411694049,11,14,3,3,20
-0.0624676756580841,-0.123720083768412,-0.0019229093888151,12,2,1,1,20
0.142242704243827,0.085177283416884,0.198698816847728,12,3,1,1,20
0.261725887266523,0.204762303698114,0.31809128897333,12,4,1,1,20
0.239258852441679,0.181659247965588,0.29628662091544,12,5,2,2,20
0.193896974740705,0.136131511105638,0.251110248377048,12,6,2,2,20
0.171678939470296,0.113617597013572,0.229189752353327,12,7,2,2,20
0.175079624966404,0.117328428400472,0.232277543989438,12,9,2,2,20
0.183072928602102,0.124935371414386,0.240709252508189,12,11,3,3,20
0.18966318894729,0.131443526030815,0.247389488654029,12,14,3,3,20
-0.111479609707813,-0.175870449596216,-0.0479282368396403,13,2,1,1,20
0.0887705986662197,0.028664574843701,0.148159629695403,13,3,1,1,20
0.208032145324665,0.147979281025007,0.26738412105813,13,4,1,1,20
0.178666008596561,0.118094347671156,0.238568503475994,13,5,2,2,20
0.134169120313703,0.0735610596490629,0.194129944284061,13,6,2,2,20
0.112338797698426,0.0515248978511592,0.172509017159267,13,7,2,2,20
0.116797502164116,0.0562925111845089,0.176655763313193,13,9,2,2,20
0.127656170454459,0.0667803673957211,0.187935072298792,13,11,3,3,20
0.146531826788659,0.0854732583744095,0.20700505271984,13,14,3,3,20
-0.0929745770965482,-0.158448199147255,-0.0283876596561771,14,2,1,1,20
0.102181499792257,0.0411703058426266,0.162435014521781,14,3,1,1,20
0.21949374577864,0.1586345588329,0.279609723948598,14,4,1,1,20
0.18764052019983,0.126227529842971,0.248343997794025,14,5,2,2,20
0.142059891956149,0.0805684795936725,0.202867154137148,14,6,2,2,20
0.116722525550124,0.0549856243679302,0.177782811129954,14,7,2,2,20
0.122488503335329,0.0610729309788118,0.183222789225514,14,9,2,2,20
0.135999715735227,0.0742520019895342,0.197113310153091,14,11,3,3,20
0.159313726015486,0.0973447169912101,0.220660641801837,14,14,3,3,20
