"","date","ZIPS"
"602",2020-08-14,6037
"603",2020-08-15,6037
"604",2020-08-16,6037
"605",2020-08-17,6037
"606",2020-08-18,6037
"607",2020-08-19,6037
"608",2020-08-20,6037
"609",2020-08-21,6037
"610",2020-08-22,6037
"611",2020-08-23,6037
"612",2020-08-24,6037
"613",2020-08-25,6037
"614",2020-08-26,6037
"615",2020-08-27,6037
"616",2020-08-28,6037
"617",2020-08-29,6037
"618",2020-08-30,6037
"619",2020-08-31,6037
"620",2020-09-01,6037
"621",2020-09-02,6037
"622",2020-09-03,6037
"623",2020-09-04,6037
"624",2020-09-05,6037
"625",2020-09-06,6037
"626",2020-09-07,6037
"627",2020-09-08,6037
"628",2020-09-09,6037
"629",2020-09-10,6037
"630",2020-09-11,6037
"631",2020-09-12,6037
"632",2020-09-13,6037
"633",2020-09-14,6037
"634",2020-09-15,6037
"635",2020-09-16,6037
"636",2020-09-17,6037
"637",2020-09-18,6037
"638",2020-09-19,6037
"639",2020-09-20,6037
"640",2020-09-21,6037
"641",2020-09-22,6037
"642",2020-09-23,6037
"643",2020-09-24,6037
"644",2020-09-25,6037
"645",2020-09-26,6037
"646",2020-09-27,6037
"647",2020-09-28,6037
"648",2020-08-12,6079
"649",2020-08-13,6067
"650",2020-08-14,6067
"651",2020-08-14,6007
"652",2020-08-14,6091
"653",2020-08-15,6091
"654",2020-08-16,6091
"655",2020-08-17,6091
"656",2020-08-18,6091
"657",2020-08-19,6091
"658",2020-08-20,6091
"659",2020-08-21,6091
"660",2020-08-22,6091
"661",2020-08-23,6091
"662",2020-08-24,6091
"663",2020-08-25,6091
"664",2020-08-26,6091
"665",2020-08-15,6079
"666",2020-08-16,6079
"667",2020-08-17,6079
"668",2020-08-18,6079
"669",2020-08-19,6079
"670",2020-08-16,6079
"671",2020-08-17,6079
"672",2020-08-16,6021
"673",2020-08-17,6021
"674",2020-08-17,6057
"675",2020-08-18,6057
"676",2020-08-19,6057
"677",2020-08-20,6057
"678",2020-08-21,6057
"679",2020-08-22,6057
"680",2020-08-23,6057
"681",2020-08-24,6057
"682",2020-08-25,6057
"683",2020-08-26,6057
"684",2020-08-27,6057
"685",2020-08-28,6057
"686",2020-08-17,6051
"687",2020-08-18,6051
"688",2020-08-19,6051
"689",2020-08-20,6051
"690",2020-08-21,6051
"691",2020-08-22,6051
"692",2020-08-23,6051
"693",2020-08-24,6051
"694",2020-08-25,6051
"695",2020-08-26,6051
"696",2020-08-27,6051
"697",2020-08-28,6051
"698",2020-08-17,6021
"699",2020-08-18,6021
"700",2020-08-19,6021
"701",2020-08-17,6017
"702",2020-08-18,6017
"703",2020-08-19,6017
"704",2020-08-16,6087
"705",2020-08-17,6087
"706",2020-08-18,6087
"707",2020-08-19,6087
"708",2020-08-20,6087
"709",2020-08-21,6087
"710",2020-08-22,6087
"711",2020-08-23,6087
"712",2020-08-24,6087
"713",2020-08-25,6087
"714",2020-08-26,6087
"715",2020-08-27,6087
"716",2020-08-28,6087
"717",2020-08-29,6087
"718",2020-08-30,6087
"719",2020-08-31,6087
"720",2020-09-01,6087
"721",2020-09-02,6087
"722",2020-09-03,6087
"723",2020-09-04,6087
"724",2020-09-05,6087
"725",2020-09-06,6087
"726",2020-09-07,6087
"727",2020-09-08,6087
"728",2020-09-09,6087
"729",2020-09-10,6087
"730",2020-09-11,6087
"731",2020-09-12,6087
